ref  prn      pid            pname                        id                                               name                                                                      value          ave     cut    psmile                                                                                                                                                                                        
HT   1354     CHEMBL423      BETAXOLOL                    CHEMBL423,CHEMBL1691                             BETAXOLOL,BETAXOLOL HYDROCHLOR                                            0.2742,0.6286  14.36   18.76  CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1                                                                                                                                                              
ET   1214978  CHEMBL1874407                               CHEMBL1874407                                    ALFADOLONE ACETATE,ALFADOLONE-ACETATE                                     1.002,17.1     14.39   22.9   CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C                                                                                                              
EH   17170    CHEMBL115      INDINAVIR                    CHEMBL115,CHEMBL1735                             INDINAVIR,INDINAVIR SULFATE                                               0.2525,29.47   14.41   15.54  CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O                                                                                                
ET   82895    CHEMBL53418    DANTHRON                     CHEMBL53418                                      1,8-DIHYDROXYANTHRAQ,DANTHRON                                             0.5796,49.57   14.46   20.54  O=C1c2cccc(O)c2C(=O)c2c(O)cccc21                                                                                                                                                              
HT   65728    CHEMBL856      PRIMIDONE                    CHEMBL856                                        PRIMIDONE                                                                 0.2656,0.6497  14.51   17.7   CCC1(c2ccccc2)C(=O)NCNC1=O                                                                                                                                                                    
HT   26401    CHEMBL621      TRAZODONE                    CHEMBL1200798,CHEMBL621                          TRAZODONE HYDROCHLOR,TRAZODONE                                            0.9436,0.2113  14.675  21.89  O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12                                                                                                                                                    
ET   70795    CHEMBL295619   RUFLOXACIN                   CHEMBL295619,CHEMBL1385206                       RUFLOXACIN,RUFLOXACIN HYDROCHLO                                           0.9666,17.62   14.755  22.44  CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1                                                                                                                                                 
EH   6078     CHEMBL484      ADEFOVIR                     CHEMBL484                                        ADEFOVIR                                                                  0.2505,27.72   14.85   16.11  Nc1ncnc2c1ncn2CCOCP(=O)(O)O                                                                                                                                                                   
HT   916384   CHEMBL1492500  DOTHIEPIN                    CHEMBL1492500,CHEMBL1711280                      DOSULEPIN,DOSULEPIN HYDROCHLOR                                            0.2581,0.6519  14.9    17.44  CN(C)CC/C=C1\c2ccccc2CSc2ccccc21                                                                                                                                                              
HT   210490   CHEMBL340211   AZAPERONE                    CHEMBL340211                                     AZAPERONE                                                                 0.6959,0.2437  15.265  15.65  O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1                                                                                                                                                         
EH   255947   CHEMBL170      QUININE                      CHEMBL170,CHEMBL588046,CHEMBL170                 QUININE,QUININE HYDROCHLORID,QUININE                                      0.2113,45.57   15.64   21.83  C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12                                                                                                                                         
HT   485738   CHEMBL1643     RIBAVIRIN                    CHEMBL1643                                       RIBAVIRIN                                                                 0.2922,0.527   15.675  23.05  NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1                                                                                                                                              
EH   1347273  CHEMBL2040682  CICLESONIDE                  CHEMBL2040682                                    CICLESONIDE                                                               0.2519,23.91   15.775  18.2   CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C                                                                                  
EH   1040349  CHEMBL1617398  FLUNIXIN                     CHEMBL1733447,CHEMBL3561935                      FLUNIXIN-MEGLUMIN,FLUNIXIN MEGLUMINE                                      0.2448,25.38   15.95   17.32  Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F                                                                                                                                                            
ET   829857   CHEMBL1405973  EXALAMIDE                    CHEMBL1405973                                    EXALAMIDE                                                                 0.8043,20.65   15.99   20.16  CCCCCCOc1ccccc1C(N)=O                                                                                                                                                                         
EH   255377   CHEMBL357995   BOPINDOLOL                   CHEMBL357995                                     BOPINDOLOL,BOPINDOLOL MALONATE                                            0.2339,29.17   16.015  16.42  Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1                                                                                                                                              
HT   57882    CHEMBL38938    DIMETRIDAZOLE                CHEMBL38938                                      DIMETRIDAZOLE                                                             0.2713,0.5596  16.06   21.73  Cc1ncc([N+](=O)[O-])n1C                                                                                                                                                                       
ET   57833    CHEMBL829      METHYLPROMAZINE              CHEMBL3989885,CHEMBL1713082,CHEMBL829,CHEMBL829  TRIMEPRAZINE TARTRAT,TRIMEPRAZINE TARTRAT,TRIMEPRAZINE,ALIMEMAZINE        0.5355,45.75   16.065  22.72  CC(CN(C)C)CN1c2ccccc2Sc2ccccc21                                                                                                                                                               
EH   418436   CHEMBL442444   DROFENINE                    CHEMBL442444,CHEMBL1368313                       DROFENINE,DROFENINE HYDROCHLOR                                            0.258,20.69    16.28   20.14  CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1                                                                                                                                                            
ET   5975     CHEMBL480      LANSOPRAZOLE                 CHEMBL480                                        LANSOPRAZOLE                                                              0.8151,19.31   16.33   21.23  Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1                                                                                                                                              
HT   56831    CHEMBL822      TERBINAFINE                  CHEMBL822,CHEMBL1200832                          TERBINAFINE,TERBINAFINE HYDROCHL                                          0.8891,0.2015  16.355  23.86  CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12                                                                                                                                                          
ET   694481   CHEMBL1232131  DOBESILIC ACID               CHEMBL1514715                                    ETHAMSYLATE DIETHYLA,ETHAMSYLATE                                          0.6843,26.85   16.405  16.5   O=S(=O)(O)c1cc(O)ccc1O                                                                                                                                                                        
EH   198725   CHEMBL120563   THIRAM                       CHEMBL120563                                     THIRAM                                                                    0.2497,22.44   16.425  19.14  CN(C)C(=S)SSC(=S)N(C)C                                                                                                                                                                        
EH   71516    CHEMBL159      VINBLASTINE                  CHEMBL159,CHEMBL378544                           VINBLASTINE,VINBLASTINE (SULFATE                                          0.2235,33.96   16.455  19.56  CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1                                           
HT   139241   CHEMBL86715    PROCYCLIDINE                 CHEMBL1761,CHEMBL86715                           PROCYCLIDINE HYDROCH,PROCYCLIDINE                                         0.7878,0.2175  16.565  20.91  OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1                                                                                                                                                               
HT   366278   CHEMBL220491   BRINZOLAMIDE                 CHEMBL220491                                     BRINZOLAMIDE                                                              0.6645,0.2322  16.945  17.04  CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21                                                                                                                                               
ET   17347    CHEMBL116      AMPRENAVIR                   CHEMBL116                                        AMPRENAVIR                                                                0.5188,41.64   16.95   23.38  CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1                                                                                                                     
EH   255532   CHEMBL154111   SALSALATE                    CHEMBL154111                                     SASAPYRINE,SALSALATE                                                      0.2499,20.56   16.95   20.25  O=C(Oc1ccccc1C(=O)O)c1ccccc1O                                                                                                                                                                 
ET   1157427  CHEMBL1793796  BUNOLOL                      CHEMBL1704116                                    (+) LEVOBUNOLOL HYDR,LEVOBUNOLOL-(+)                                      0.8131,17.24   17.15   22.74  CC(C)(C)NC[C@@H](O)COc1cccc2c1CCCC2=O                                                                                                                                                         
ET   583520   CHEMBL1762     TOCAINIDE                    CHEMBL1200773,CHEMBL1762                         TOCAINIDE HYDROCHLOR,TOCAINIDE                                            0.8116,17.36   17.155  22.69  Cc1cccc(C)c1NC(=O)C(C)N                                                                                                                                                                       
EH   426110   CHEMBL256997   ATALUREN                     CHEMBL256997                                     ATALUREN,PTC124 (ATALUREN)                                                0.2151,33.95   17.2    21.03  O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1                                                                                                                                                          
ET   646449   CHEMBL1165268  IODIPAMIDE                   CHEMBL1165268                                    IODIPAMIDE                                                                0.5066,41.36   17.455  24.31  O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I                                                                                                                                
HT   1070837  CHEMBL1673148  BEPHENIUM HYDROXYNAPHTHOATE  CHEMBL1673148                                    BEPHENIUM HYDROXYNAP                                                      0.2695,0.4988  17.77   24.9   C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O                                                                                                                                       
EH   1193212  CHEMBL1852533  GUAIAZULENE SULFONIC ACID    CHEMBL1837010                                    SODIUM-GUALENATE,SODIUM GUALENATE                                         0.2044,36.07   17.805  23.06  Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2                                                                                                                                                        
ET   139311   CHEMBL87708    LOFEPRAMINE                  CHEMBL87708                                      LOFEPRAMINE                                                               0.7416,17.72   18.135  22.33  CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1                                                                                                                                                
EH   209603   CHEMBL127349   NIFENALOL                    CHEMBL127349                                     NIFENALOL                                                                 0.2196,27.96   18.235  20.54  CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1                                                                                                                                                             
ET   16485    CHEMBL113      CAFFEINE                     CHEMBL113                                        CAFFEINE                                                                  0.5253,33.57   18.32   23.18  Cn1c(=O)c2c(ncn2C)n(C)c1=O                                                                                                                                                                    
ET   138088   CHEMBL84567    TRACAZOLATE                  CHEMBL2356666,CHEMBL84567                        TRACAZOLATE HYDROCHL,TRACAZOLATE                                          0.6397,22.52   18.595  19.03  CCCCNc1c(C(=O)OCC)c(C)nc2c1cnn2CC                                                                                                                                                             
EH   276734   CHEMBL1336     SORAFENIB                    CHEMBL1336,CHEMBL1200485                         SORAFENIB,SORAFENIB TOSYLATE                                              0.2484,16.59   18.72   23.29  CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1                                                                                                                                     
ET   1078590  CHEMBL1697841  ISOMETHEPTENE                CHEMBL4303692,CHEMBL2355839                      ISOMETHEPTENE MUCATE,ISOMETHEPTENE-MUCATE                                 0.5058,33.52   18.955  24.44  CNC(C)CCC=C(C)C                                                                                                                                                                               
HT   93995    CHEMBL60889    MOSAPRIDE                    CHEMBL60889,CHEMBL1733174                        MOSAPRIDE,MOSAPRIDE CITRATE                                               0.668,0.2146   19.095  21.28  CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1                                                                                                                                               
ET   39516    CHEMBL29188    LOMERIZINE                   CHEMBL1404407,CHEMBL29188                        LOMERIZINE HYDROCHLO,LOMERIZINE                                           0.5634,26.15   19.215  21.53  COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC                                                                                                                                        
ET   373973   CHEMBL223448   BROXYQUINOLINE               CHEMBL223448                                     BROXYQUINOLINE                                                            0.5902,22.91   19.34   19.95  Oc1c(Br)cc(Br)c2cccnc12                                                                                                                                                                       
ET   861648   CHEMBL1437764  CLIMBAZOLE                   CHEMBL1437764                                    CLIMBAZOLE                                                                0.5982,22.58   19.355  19.75  CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1                                                                                                                                                          
EH   99442    CHEMBL304253   TOLONIDINE                   CHEMBL304253                                     TOLONIDINE                                                                0.2301,19.02   19.465  21.4   Cc1ccc(N=C2NCCN2)c(Cl)c1                                                                                                                                                                      
ET   393942   CHEMBL1463     FLUCYTOSINE                  CHEMBL1463                                       FLUCYTOSINE                                                               0.5646,25.02   19.475  21.4   Nc1[nH]c(=O)ncc1F                                                                                                                                                                             
HT   93617    CHEMBL957      BOSENTAN                     CHEMBL957                                        BOSENTAN,BOSENTAN HYDRATE                                                 0.6519,0.2095  19.76   22.02  COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO                                                                                                                              
HT   27112    CHEMBL631      PROPAFENONE                  CHEMBL1201063,CHEMBL631                          PROPAFENONE HYDROCHL,PROPAFENONE                                          0.6744,0.2048  19.795  22.88  CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1                                                                                                                                                            
EH   1318954  CHEMBL1997663  ETHACIZINE                   CHEMBL1997663                                    ETHACIZIN                                                                 0.2302,17.35   20.055  22.71  CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2                                                                                                                                               
ET   41434    CHEMBL753      PHENOXYBENZAMINE             CHEMBL1200787                                    PHENOXYBENZAMINE HYD,PHENOXYBENZAMINE (HY                                 0.5642,22.83   20.135  21.47  CC(COc1ccccc1)N(CCCl)Cc1ccccc1                                                                                                                                                                
ET   31241    CHEMBL691      ETHINYL ESTRADIOL            CHEMBL691                                        ETHINYLESTRADIOL,ETHINYL ESTRADIOL                                        0.6874,15.09   20.45   24.72  C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C                                                                                                                                       
EH   466768   CHEMBL1617     RIFAXIMIN                    CHEMBL1617                                       RIFAXIMIN                                                                 0.2244,18.26   20.615  21.92  CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C                                      
ET   581843   CHEMBL1753     CLINDAMYCIN                  CHEMBL1753,CHEMBL1200588                         CLINDAMYCIN PHOSPHAT,CLINDAMYCIN HYDROCHL                                 0.5664,20.57   20.75   21.27  CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1                                                                                                      
EH   155584   CHEMBL1114     THEOBROMINE                  CHEMBL1114                                       THEOBROMINE                                                               0.2208,18.79   20.98   21.6   Cn1cnc2c1c(=O)[nH]c(=O)n2C                                                                                                                                                                    
EH   56752    CHEMBL821      GUANIDINE                    CHEMBL821,CHEMBL1200728                          GUANIDINE,GUANIDINE HYDROCHLOR                                            0.2278,15.02   21.745  24.86  N=C(N)N                                                                                                                                                                                       
HT   308611   CHEMBL360861   NIFEKALANT                   CHEMBL360861                                     NIFEKALANT                                                                0.5554,0.204   22.495  23.19  Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O                                                                                                                                        
EH   231062   CHEMBL1242     PHENAZOPYRIDINE              CHEMBL1242,CHEMBL1201022                         PHENAZOPYRIDINE,PHENAZOPYRIDINE HYDR                                      0.2186,15.17   22.675  24.56  Nc1ccc(/N=N/c2ccccc2)c(N)n1                                                                                                                                                                   
EH   404691   CHEMBL240597   CHENODIOL                    CHEMBL240597                                     CHENODEOXYCHOLIC ACI,CHENODEOXYCHOLIC-ACI,CHENODIOL,CHENODEOXYCHOLIC ACI  0.2031,17.86   22.85   23.49  C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O                                                                                                      
HT   1383143  CHEMBL2110703  TILETAMINE                   CHEMBL2105342,CHEMBL2110703                      TILETAMINE HYDROCHLO,TILETAMINE                                           0.5042,0.2012  24.345  24.77  CCNC1(c2cccs2)CCCCC1=O                                                                                                                                                                        
