ref  prn      pid            pname                             id                                                               name                                                                                    value              ave     cut    psmile                                                                                                                                                                                                                                                                                                          
ET   13928    CHEMBL547      ISOTRETINOIN                      CHEMBL547                                                        ISOTRETINOIN,ISOTRETINON                                                                1.484,6.5          19.39   38.12  CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1                                                                                                                                                                                                                                                                 
HT   674575   CHEMBL1200624  ETHYNODIOL DIACETATE              CHEMBL1200624                                                    ETHYNODIOL-DIACETATE,ETHYNODIOL DIACETATE                                               0.2574,0.4733      19.45   26.35  C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C                                                                                                                                                                                                                                  
EH   99442    CHEMBL304253   TOLONIDINE                        CHEMBL304253                                                     TOLONIDINE                                                                              0.2301,19.02       19.465  21.4   Cc1ccc(N=C2NCCN2)c(Cl)c1                                                                                                                                                                                                                                                                                        
ET   393942   CHEMBL1463     FLUCYTOSINE                       CHEMBL1463                                                       FLUCYTOSINE                                                                             0.5646,25.02       19.475  21.4   Nc1[nH]c(=O)ncc1F                                                                                                                                                                                                                                                                                               
HT   9372     CHEMBL502      DONEPEZIL                         CHEMBL1678,CHEMBL502                                             DONEPEZIL HYDROCHLOR,DONEPEZIL                                                          1.036,0.173        19.49   33.76  COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2                                                                                                                                                                                                                                                                   
HT   116848   CHEMBL1016     CANDESARTAN                       CHEMBL1016                                                       CANDESARTAN                                                                             1.166,0.1663       19.505  36.04  CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1                                                                                                                                                                                                                                                         
EH   822      CHEMBL266195   ALPRENOLOL                        CHEMBL266195,CHEMBL1256179                                       ALPRENOLOL,ALPRENOLOL HYDROCHLO                                                         0.3773,7.73        19.635  35.15  C=CCc1ccccc1OCC(O)CNC(C)C                                                                                                                                                                                                                                                                                       
HT   93617    CHEMBL957      BOSENTAN                          CHEMBL957                                                        BOSENTAN,BOSENTAN HYDRATE                                                               0.6519,0.2095      19.76   22.02  COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO                                                                                                                                                                                                                                                
HT   27112    CHEMBL631      PROPAFENONE                       CHEMBL1201063,CHEMBL631                                          PROPAFENONE HYDROCHL,PROPAFENONE                                                        0.6744,0.2048      19.795  22.88  CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1                                                                                                                                                                                                                                                                              
ET   139210   CHEMBL1070     NABUMETONE                        CHEMBL1070                                                       NABUMETONE                                                                              1.014,8.18         19.905  34.2   COc1ccc2cc(CCC(C)=O)ccc2c1                                                                                                                                                                                                                                                                                      
ET   313314   CHEMBL1370     BUDESONIDE                        CHEMBL1370                                                       BUDESONIDE                                                                              0.726,14.17        20.015  25.7   CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1                                                                                                                                                                                                                       
ET   4584     CHEMBL59       DOPAMINE                          CHEMBL1557                                                       DOPAMINE HYDROCHLORI                                                                    1.056,7.64         20.04   35.39  NCCc1ccc(O)c(O)c1                                                                                                                                                                                                                                                                                               
EH   1318954  CHEMBL1997663  ETHACIZINE                        CHEMBL1997663                                                    ETHACIZIN                                                                               0.2302,17.35       20.055  22.71  CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(CC)CC)c1ccccc1S2                                                                                                                                                                                                                                                                 
ET   41434    CHEMBL753      PHENOXYBENZAMINE                  CHEMBL1200787                                                    PHENOXYBENZAMINE HYD,PHENOXYBENZAMINE (HY                                               0.5642,22.83       20.135  21.47  CC(COc1ccccc1)N(CCCl)Cc1ccccc1                                                                                                                                                                                                                                                                                  
EH   1308809  CHEMBL1987518  ENSULIZOLE                        CHEMBL1987518                                                    PHENYLBENZIMIDAZOLE-                                                                    0.1842,41.73       20.185  29.89  O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1                                                                                                                                                                                                                                                                           
EH   1247476  CHEMBL1906890  HYDROQUINIDINE                    CHEMBL1906890                                                    HYDROQUINIDINE                                                                          0.1882,37.11       20.245  28.41  CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12                                                                                                                                                                                                                                                              
HT   421034   CHEMBL1510     ELETRIPTAN                        CHEMBL1510,CHEMBL1201003                                         ELETRIPTAN                                                                              1.227,0.1607       20.31   38.44  CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12                                                                                                                                                                                                                                                             
EH   1121337  CHEMBL1742466  LANDIOLOL                         CHEMBL1742466,CHEMBL2362410                                      LANDIOLOL,LANDIOLOL HCL                                                                 0.1908,33.99       20.4    27.49  CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1                                                                                                                                                                                                                                              
ET   31241    CHEMBL691      ETHINYL ESTRADIOL                 CHEMBL691                                                        ETHINYLESTRADIOL,ETHINYL ESTRADIOL                                                      0.6874,15.09       20.45   24.72  C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C                                                                                                                                                                                                                                                         
EH   466768   CHEMBL1617     RIFAXIMIN                         CHEMBL1617                                                       RIFAXIMIN                                                                               0.2244,18.26       20.615  21.92  CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C                                                                                                                                                        
EH   23522    CHEMBL614      PYRAZINAMIDE                      CHEMBL614                                                        PYRAZINAMIDE                                                                            0.1788,44.3        20.63   31.37  NC(=O)c1cnccn1                                                                                                                                                                                                                                                                                                  
EH   1383340  CHEMBL2110900  DAPOXETINE                        CHEMBL2106574,CHEMBL2110900                                      DAPOXETINE HYDROCHLO,DAPOXETINE                                                         65.1,0.1691        20.66   35.3   CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1                                                                                                                                                                                                                                                                          
EH   27229    CHEMBL635      PREDNISONE                        CHEMBL635                                                        PREDNISONE                                                                              0.264,10.71        20.665  29.83  C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO                                                                                                                                                                                                                                       
HT   454176   CHEMBL452861   (-)-PROPANOLOL                    CHEMBL545328,CHEMBL452861                                        (S)-(-)-PROPRANOLOL ,PROPRANOLOL-(S),DEXPROPRANOLOL HYDRO                               1.068,0.1645       20.67   36.78  CC(C)NC[C@H](O)COc1cccc2ccccc12                                                                                                                                                                                                                                                                                 
ET   581843   CHEMBL1753     CLINDAMYCIN                       CHEMBL1753,CHEMBL1200588                                         CLINDAMYCIN PHOSPHAT,CLINDAMYCIN HYDROCHL                                               0.5664,20.57       20.75   21.27  CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1                                                                                                                                                                                                                        
HT   169652   CHEMBL1131     ACITRETIN                         CHEMBL1131                                                       ACITRETIN                                                                               0.457,0.2609       20.815  39.17  COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C                                                                                                                                                                                                                                                                
EH   1421280  CHEMBL2147777  TENELIGLIPTIN                     CHEMBL2147777                                                    TENELIGLIPTIN                                                                           0.3043,8.14        20.815  34.25  Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1                                                                                                                                                                                                                                                   
ET   389718   CHEMBL244888   NIFUROXAZIDE                      CHEMBL244888                                                     NIFUROXAZIDE                                                                            0.775,11.28        20.865  29.05  O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1                                                                                                                                                                                                                                                                     
HT   1209273  CHEMBL1868702  GESTRINONE                        CHEMBL1868702                                                    GESTRINONE                                                                              0.3099,0.3178      20.905  34.74  C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC                                                                                                                                                                                                                                                        
EH   155584   CHEMBL1114     THEOBROMINE                       CHEMBL1114                                                       THEOBROMINE                                                                             0.2208,18.79       20.98   21.6   Cn1cnc2c1c(=O)[nH]c(=O)n2C                                                                                                                                                                                                                                                                                      
EH   1378859  CHEMBL2106589  ENOCITABINE                       CHEMBL2106589                                                    ENOCITABINE                                                                             0.3288,7.12        21.095  36.41  CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1                                                                                                                                                                                                                                     
HT   147956   CHEMBL1086     DIBUCAINE                         CHEMBL1086                                                       DIBUCAINE                                                                               0.9095,0.1716      21.165  34.01  CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1                                                                                                                                                                                                                                                                            
EH   1062512  CHEMBL1650619  PYRITHIONE                        CHEMBL1650619,CHEMBL3392049                                      PYRITHIONE,PYRITHIONE ZINC                                                              0.2583,10.39       21.26   30.28  On1ccccc1=S                                                                                                                                                                                                                                                                                                     
ET   598447   CHEMBL1773     CAPECITABINE                      CHEMBL1773                                                       CAPECITABINE                                                                            0.7397,11.73       21.3    28.53  CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F                                                                                                                                                                                                                                                     
HT   65351    CHEMBL850      SPARFLOXACIN                      CHEMBL850                                                        SPARFLOXACIN                                                                            1.032,0.1623       21.335  37.39  C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1                                                                                                                                                                                                                                                 
ET   374064   CHEMBL1443     NAFCILLIN                         CHEMBL1568276,CHEMBL1200344                                      NAFCILLIN SODIUM SAL,NAFCILLIN SODIUM                                                   0.3633,40.24       21.395  31.7   CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12                                                                                                                                                                                                                                              
EH   29637    CHEMBL685      MEBENDAZOLE                       CHEMBL685                                                        MEBENDAZOLE                                                                             0.2334,13.81       21.41   26.09  COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1                                                                                                                                                                                                                                                                         
EH   358192   CHEMBL1419     SIBUTRAMINE                       CHEMBL1419,CHEMBL1200765,CHEMBL3989830                           SIBUTRAMINE,SIBUTRAMINE HYDROCHL,SIBUTRAMINE (HYDROCH                                   0.2623,9.9         21.49   31.17  CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1                                                                                                                                                                                                                                                                              
EH   53591    CHEMBL36994    ANIRACETAM                        CHEMBL36994                                                      ANIRACETAM                                                                              0.178,40.07        21.51   31.86  COc1ccc(C(=O)N2CCCC2=O)cc1                                                                                                                                                                                                                                                                                      
EH   226880   CHEMBL1224     ACRIVASTINE                       CHEMBL1224                                                       ACRIVASTINE                                                                             0.1912,28.58       21.525  27.31  Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1                                                                                                                                                                                                                                                                 
HT   5080     CHEMBL469      KETOROLAC                         CHEMBL469,CHEMBL1201124                                          KETOROLAC,KETOROLAC TROMETHAMI                                                          0.2356,0.4498      21.6    27.15  O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O                                                                                                                                                                                                                                                                                 
ET   300763   CHEMBL178862   ANETHOLTRITHION                   CHEMBL178862                                                     ANETHOLE-TRITHIONE,ANETHOLE (TRITHIONE)                                                 1.029,6.61         21.63   37.78  COc1ccc(-c2cc(=S)ss2)cc1                                                                                                                                                                                                                                                                                        
EH   56752    CHEMBL821      GUANIDINE                         CHEMBL821,CHEMBL1200728                                          GUANIDINE,GUANIDINE HYDROCHLOR                                                          0.2278,15.02       21.745  24.86  N=C(N)N                                                                                                                                                                                                                                                                                                         
EH   17224    CHEMBL584      NELFINAVIR                        CHEMBL1205,CHEMBL584                                             NELFINAVIR MESYLATE,NELFINAVIR                                                          66.88,0.1621       21.795  37.76  Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C                                                                                                                                                                                                                           
EH   1379603  CHEMBL2107333  DIMETHYL FUMARATE                 CHEMBL2107333                                                    DIMETHYL FUMARATE                                                                       0.2569,9.92        21.83   31.05  COC(=O)/C=C/C(=O)OC                                                                                                                                                                                                                                                                                             
EH   389011   CHEMBL243712   AMISULPRIDE                       CHEMBL243712                                                     AMISULPRIDE                                                                             0.2622,9.47        21.85   31.83  CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC                                                                                                                                                                                                                                                                      
ET   122859   CHEMBL75753    XAMOTEROL                         CHEMBL1329567,CHEMBL2104466                                      XAMOTEROL HEMIFUMARA,XAMOTEROL FUMARATE                                                 0.4021,31.19       22.03   29.52  O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1                                                                                                                                                                                                                                                                             
ET   1043826  CHEMBL1620875  OXOLAMINE                         CHEMBL1448044                                                    OXOLAMINE CITRATE SA,OXOLAMINE CITRATE                                                  0.8737,7.92        22.06   34.74  CCN(CC)CCc1nc(-c2ccccc2)no1                                                                                                                                                                                                                                                                                     
ET   182558   CHEMBL1153     DIGOXIGENIN                       CHEMBL1153                                                       DIGOXIGENIN                                                                             66.77,0.2712       22.15   38.44  C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O                                                                                                                                                                                                                         
EH   674813   CHEMBL1200862  METYROSINE                        CHEMBL1200862                                                    METIROSINE                                                                              47.3,0.1688        22.15   35.42  C[C@](N)(Cc1ccc(O)cc1)C(=O)O                                                                                                                                                                                                                                                                                    
ET   65455    CHEMBL297302   BENPERIDOL                        CHEMBL297302                                                     BENPERIDOL                                                                              0.4246,28.08       22.185  28.47  O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1                                                                                                                                                                                                                                                                   
EH   255347   CHEMBL1292     CLOFAZIMINE                       CHEMBL1292                                                       CLOFAZIMINE                                                                             0.5936,4.74        22.27   43.74  CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1                                                                                                                                                                                                                                                      
EH   694073   CHEMBL1231723  POLIDOCANOL                       CHEMBL1231723                                                    POLIDOCANOL                                                                             85.8,0.154         22.285  41.08  CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO                                                                                                                                                                                                                                                                        
ET   1615     CHEMBL29       BENZYLPENICILLIN                  CHEMBL1126,CHEMBL29,CHEMBL1223                                   BENZYLPENICILLIN SOD,PENICILLIN G,PENICILLIN G POTASSI                                  0.6496,13.21       22.295  26.82  CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O                                                                                                                                                                                                                                                         
HT   231013   CHEMBL1241     TRIPELENNAMINE                    CHEMBL1200446,CHEMBL1241,CHEMBL1200769                           TRIPELENNAMINE HYDRO,TRIPELENNAMINE,TRIPELENNAMINE CITRA                                1.17,0.1524        22.305  41.7   CN(C)CCN(Cc1ccccc1)c1ccccn1                                                                                                                                                                                                                                                                                     
EH   509670   CHEMBL451635   OBIDOXIME                         CHEMBL451635,CHEMBL291233                                        OBIDOXIME                                                                               0.2635,8.78        22.305  32.99  O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1                                                                                                                                                                                                                                                                       
HT   308611   CHEMBL360861   NIFEKALANT                        CHEMBL360861                                                     NIFEKALANT                                                                              0.5554,0.204       22.495  23.19  Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O                                                                                                                                                                                                                                                          
EH   132933   CHEMBL84158    TIAPRIDE                          CHEMBL84158,CHEMBL1256772                                        TIAPRIDE,TIAPRIDE HYDROCHLORI                                                           0.1795,32.44       22.55   31.06  CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC                                                                                                                                                                                                                                                                           
EH   231062   CHEMBL1242     PHENAZOPYRIDINE                   CHEMBL1242,CHEMBL1201022                                         PHENAZOPYRIDINE,PHENAZOPYRIDINE HYDR                                                    0.2186,15.17       22.675  24.56  Nc1ccc(/N=N/c2ccccc2)c(N)n1                                                                                                                                                                                                                                                                                     
EH   293341   CHEMBL367463   PRANOPROFEN                       CHEMBL367463                                                     PRANOPROFEN                                                                             0.2215,14.38       22.805  25.56  CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2                                                                                                                                                                                                                                                                                
EH   404691   CHEMBL240597   CHENODIOL                         CHEMBL240597                                                     CHENODEOXYCHOLIC ACI,CHENODEOXYCHOLIC-ACI,CHENODIOL,CHENODEOXYCHOLIC ACI                0.2031,17.86       22.85   23.49  C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O                                                                                                                                                                                                                        
EH   675307   CHEMBL1201356  METHYLERGONOVINE                  CHEMBL1201356,CHEMBL1200843                                      METHYLERGONOVINE,METHYLERGOMETRINE MA,METHYLERGOMETRINE                                 0.219,14.78        22.89   25.18  CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1                                                                                                                                                                                                                                                    
ET   382846   CHEMBL1453     DIGITOXIGENIN                     CHEMBL1453                                                       DIGITOXIGENIN                                                                           60.03,0.2572       23.035  39.56  C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O                                                                                                                                                                                                                                 
EH   397873   CHEMBL1469     PHENYLBUTANOIC ACID               CHEMBL1469,CHEMBL1746                                            PHENYLBUTYRATE,SODIUM PHENYLBUTYRAT                                                     0.1706,38.12       23.085  34.5   O=C(O)CCCc1ccccc1                                                                                                                                                                                                                                                                                               
ET   91123    CHEMBL300117                                     CHEMBL4303291,CHEMBL300117                                       LEVOPROPOXYPHENE NAP,LEVOPROPOXYPHENE                                                   0.8216,7.62        23.275  35.45  CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C                                                                                                                                                                                                                                                                        
HT   405364   CHEMBL1479     DANAZOL                           CHEMBL1479                                                       DANAZOL                                                                                 0.2899,0.2738      23.36   38.11  C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C                                                                                                                                                                                                                                                
HT   209594   CHEMBL1200     BENOXINATE                        CHEMBL1200654,CHEMBL1200                                         BENOXINATE HYDROCHLO,OXYBUPROCAINE                                                      1.193,0.147        23.36   44.34  CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N                                                                                                                                                                                                                                                                                 
HT   1219     CHEMBL6966     VERAPAMIL                         CHEMBL1280,CHEMBL6966                                            VERAPAMIL HYDROCHLOR,VERAPAMIL                                                          0.7099,0.1784      23.37   31.61  COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC                                                                                                                                                                                                                                                            
EH   554892   CHEMBL1726     NISOLDIPINE                       CHEMBL1726                                                       NISOLDIPINE                                                                             0.4022,4.82        23.38   43.5   COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]                                                                                                                                                                                                                                                       
HT   21698    CHEMBL19236    MOXONIDINE                        CHEMBL19236,CHEMBL1256287                                        MOXONIDINE                                                                              0.9675,0.157       23.425  39.91  COc1nc(C)nc(Cl)c1NC1=NCCN1                                                                                                                                                                                                                                                                                      
EH   14906    CHEMBL442329                                     CHEMBL4303610,CHEMBL442329                                       MONOSODIUM-ALPHA-LUM,LUMINOL                                                            0.2367,9.97        23.46   30.99  Nc1cccc2c(=O)[nH][nH]c(=O)c12                                                                                                                                                                                                                                                                                   
HT   316347   CHEMBL361497   ARTESUNATE                        CHEMBL361497                                                     ARTESUNATE                                                                              0.2142,0.4807      23.585  25.83  C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4                                                                                                                                                                                                                             
EH   831529   CHEMBL1407645  CAFESTOL                          CHEMBL1407645                                                    CAFESTOL                                                                                0.168,39.05        23.6    35.85  C[C@@]12CCc3occc3[C@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](O)(CO)C3                                                                                                                                                                                                                                                
EH   441579   CHEMBL429910   DAPAGLIFLOZIN                     CHEMBL429910                                                     DAPAGLIFLOZIN                                                                           0.2268,11.91       23.635  28.39  CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1                                                                                                                                                                                                                                             
EH   99106    CHEMBL63440    ALOXISTATIN                       CHEMBL63440                                                      ALOXISTATIN                                                                             0.7896,3.8         23.67   47.16  CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C                                                                                                                                                                                                                                                         
EH   675116   CHEMBL1201165  QUINESTROL                        CHEMBL1201165                                                    QUINESTROL                                                                              0.3887,4.68        23.765  43.9   C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C                                                                                                                                                                                                                                                  
HT   3859     CHEMBL54       HALOPERIDOL                       CHEMBL54                                                         HALOPERIDOL                                                                             0.212,0.4764       23.805  26.02  O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1                                                                                                                                                                                                                                                                    
HT   371655   CHEMBL1436     CEFUROXIME                        CHEMBL1436,CHEMBL2146124                                         CEFUROXIME,CEFUROXIME SODIUM SA,CEFUROXIME SODIUM                                       0.29,0.2609        23.825  39.1   CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1                                                                                                                                                                                                                                              
ET   32027    CHEMBL698      TETRACAINE                        CHEMBL1255654                                                    TETRACAINE HYDROCHLO                                                                    0.4749,18.71       23.945  26.22  CCCCNc1ccc(C(=O)OCCN(C)C)cc1                                                                                                                                                                                                                                                                                    
ET   1096     CHEMBL18       ETHOXZOLAMIDE                     CHEMBL18                                                         ETHOXZOLAMIDE                                                                           2.099,3.58         23.95   47.83  CCOc1ccc2nc(S(N)(=O)=O)sc2c1                                                                                                                                                                                                                                                                                    
ET   451341   CHEMBL452076   CILNIDIPINE                       CHEMBL452076                                                     CILNIDIPINE                                                                             0.3305,31.63       24.09   33.82  COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1                                                                                                                                                                                                                                          
EH   114108   CHEMBL305906   CETYLPYRIDINIUM                   CHEMBL2003538,CHEMBL305906                                       CETYLPYRIDINIUM CHLO,CETYLPYRIDINIUM                                                    100.02,0.1396      24.115  47.23  CCCCCCCCCCCCCCCC[n+]1ccccc1                                                                                                                                                                                                                                                                                     
